   -110.00000      .45000     1.30000
    -80.00000     -.22500     1.30000
    -70.00000     -.45000     1.20000
    -60.00000     -.65000     1.10000
    -50.00000     -.75000      .87310
    -40.00000     -.80000      .64630
    -30.00000     -.80000      .41940
    -20.00000     -.68000      .19250
    -14.00000     -.87000      .05640
    -12.00000     -.85000      .01100
    -10.00000     -.64264      .01014
     -6.00000     -.22798      .00832
     -4.00000     -.02068      .00762
     -2.00000      .18668      .00712
       .00000      .39398      .00680
      4.00000      .80864      .00742
      6.00000     1.01600      .00860
      8.00000     1.18900      .01130
     10.00000     1.36200      .01400
     12.00000     1.47800      .01760
     13.00000     1.51400      .03180
     14.00000     1.52000      .04600
     16.00000     1.45998      .08730
     20.00000     1.30888      .17000
     24.00000     1.15778      .28200
     26.00000     1.10000      .33800
     30.00000     1.10000      .45000
     40.00000     1.10000      .65000
     50.00000     1.00000      .85000
     60.00000      .83000     1.02500
     70.00000      .55330     1.20000
     80.00000      .27670     1.30000
     90.00000      .00000     1.30000
